null_values_mdd,actual_value_mdd,null_values_aud,actual_value_aud,null_values_hc01,actual_value_hc01,null_values_hc02,actual_value_hc02
0.064095817,,0.118717172,,0.092166575,,0.070015423,
0.064813875,,0.127703497,,0.055215489,,0.147665445,
0.043018939,,0.087137104,,0.055710136,,0.03925666,
0.046751149,,0.080341879,,0.064887946,,0.075175035,
0.080024538,,0.127252404,,0.071614841,,0.028558887,
0.097487045,,0.16905269,,0.101446285,,0.111417887,
0.091616797,,0.141410754,,0.076589522,,0.056229399,
0.04953889,,0.086694141,,0.060541352,,0.059315884,
0.065528284,,0.170132345,,0.094479191,,0.064042026,
0.06084428,,0.118837943,,0.059164609,,0.157137661,
0.078274575,,0.07630359,,0.076776246,,0.10873962,
0.066841433,,0.111250444,,0.060949533,,0.070371527,
0.071220626,,0.08862006,,0.074622829,,0.067589769,
0.165489188,,0.263562753,,0.072131682,,0.116751095,
0.029103983,,0.045808438,,0.047683028,,0.072016084,
0.029478403,,0.055646199,,0.045882016,,0.062270005,
0.122469286,,0.08157312,,0.2207883,,0.207843992,
0.053245968,,0.104255684,,0.077965875,,0.072091791,
0.086442752,,0.1695696,,0.049407994,,0.082144582,
0.075648144,,0.155235921,,0.155083074,,0.070710809,
0.041447222,,0.050881935,,0.040683394,,0.046685394,
0.059660861,,0.091925746,,0.051448408,,0.069465446,
0.076857051,,0.084148149,,0.056429118,,0.108893346,
0.109490681,,0.244788207,,0.085990152,,0.124410986,
0.0246734,,0.06391966,,0.092812777,,0.064215593,
0.061245421,,0.08079292,,0.032709556,,0.080023095,
0.04232313,,0.060776784,,0.043072492,,0.09706367,
0.083233856,,0.108942919,,0.077698132,,0.089500375,
0.076581103,,0.166729304,,0.072323273,,0.137434066,
0.202118445,,0.122451955,,0.20853649,,0.207125024,
