all_between,all_within
-0.104641028,0.131518885
-0.095242217,0.203614444
-0.117067702,0.177672312
-0.079744726,0.157788545
-0.117140315,0.189685091
-0.107886478,0.086004399
-0.04746788,0.226808146
-0.011287938,0.319611043
0.075165123,0.236258805
0.001700097,0.184275523
-0.031037668,0.259447396
-0.050436717,0.267343163
0.030183289,0.25250414
0.025429804,0.218161955
-0.037102453,0.254914373
0.014725962,0.230737284
-0.012082919,0.23321937
-0.070798084,0.150207326
0.030824948,0.14361684
0.004337678,0.126914307
-0.063823156,0.252090484
0.012783667,0.138116717
0.008149757,0.16180943
0.0231933,0.141852468
-0.0018019,0.193315476
0.013959988,0.17904292
0.069391258,0.129204363
0.035750017,0.148696095
0.086847462,0.123339131
0.089890562,0.098693565
-0.057122178,0.178527728
-0.039297502,0.115626
-0.088911742,0.122662172
-0.048490271,0.247822911
-0.062077787,0.152549118
-0.026649574,0.161532238
-0.06716758,0.137889192
-0.046618801,0.220274076
-0.062219802,0.172149107
-0.035336871,0.156413063
-0.060894702,0.171796873
-0.047276672,0.068657227
-0.041692022,0.232982829
-0.024803452,0.189367458
0.080235772,0.168813959
-0.023120709,0.15858233
-0.016558401,0.291390121
-0.047795653,0.194193646
0.007535004,0.171855643
0.029417289,0.196250468
-0.014430141,0.202835366
0.015050255,0.169316307
-0.02672399,0.212020382
-0.064670935,0.113860451
0.048312299,0.147498861
-0.000136213,0.154940262
-0.047350936,0.112493478
0.045704115,0.136370152
0.019122103,0.149719104
0.036092278,0.291178316
0.011529491,0.162973031
0.040317241,0.150084823
0.046708614,0.188846782
0.059531275,0.15382883
0.072976515,0.229492649
0.080014735,0.087695964
-0.094280034,0.142547011
-0.094152912,0.165156737
-0.145608544,0.177138373
-0.101677753,0.122252069
-0.128210902,0.161501393
-0.053812452,0.177599296
-0.121254906,0.295496672
-0.098779008,0.145087495
-0.126362428,0.19482702
-0.077090032,0.178470358
-0.120189838,0.190271288
-0.112033814,0.111913115
-0.019392136,0.211302564
0.012511103,0.131206438
0.103221148,0.141280234
0.018376658,0.203192651
-0.004386867,0.164419472
-0.029900076,0.150029838
0.055766534,0.136245534
0.045541439,0.285505235
-0.004848893,0.200308934
0.039691243,0.177385911
-0.021566182,0.195762098
-0.069867156,0.091248721
0.037736889,0.183882564
-0.006683283,0.14800632
-0.050262257,0.11316023
0.031333752,0.156281516
-0.005832071,0.172862381
0.023738103,0.203047186
-0.001424177,0.169861764
0.042095203,0.203107506
0.068439096,0.303301454
0.045336638,0.205392852
0.073839106,0.249450743
0.099428356,0.119443372
-0.093827896,0.151481569
-0.078089796,0.149129257
-0.120843239,0.150486499
-0.093172826,0.131300896
-0.112109981,0.161352977
-0.042235646,0.161929935
-0.095434889,0.172229424
-0.080575302,0.173183829
-0.101073794,0.186098635
-0.056523532,0.30180797
-0.097358994,0.193351939
-0.093606688,0.096496493
-0.026344646,0.158802897
-0.018842984,0.123406291
0.091142923,0.062819451
-0.001365989,0.119763739
-0.017135344,0.157057792
-0.05038508,0.198453799
0.028522214,0.133100301
0.032971188,0.162326604
-0.016695656,0.221272036
0.021904318,0.187258348
-0.024696618,0.330621332
-0.054783478,0.098196909
0.048256058,0.086347982
0.011775395,0.070639923
-0.043911632,0.10375265
0.029258898,0.040634833
0.020895513,0.100853309
0.028942661,0.106534645
0.014177684,0.108466655
0.033078071,0.112018637
0.056629628,0.128061205
0.059215415,0.105424821
0.072541155,0.126780316
0.09337192,0.291714311
-0.087318547,
-0.077138573,
-0.120900281,
-0.089919336,
-0.101688258,
-0.051940985,
-0.114766859,
-0.088214613,
-0.104536593,
-0.076249003,
-0.106878802,
-0.085467897,
-0.01745249,
-0.000893241,
0.099785082,
0.005360415,
0.002692783,
-0.034986015,
0.038754128,
0.051281564,
-0.000104573,
0.033107769,
-0.023684273,
-0.07403712,
0.051360663,
-0.012793522,
-0.062914595,
0.025576152,
0.006431823,
0.036215767,
0.010544287,
0.0484442,
0.060493916,
0.038937289,
0.085537933,
0.08144521,
-0.059986569,
-0.047498673,
-0.097756334,
-0.051308684,
-0.067326605,
-0.033359639,
-0.073811166,
-0.060780253,
-0.075983681,
-0.044622198,
-0.074819945,
-0.069254123,
-0.031900853,
-0.033157781,
0.09601561,
-0.014035871,
-0.017301932,
-0.075894125,
0.008839427,
0.027885977,
-0.014053527,
0.028543795,
-0.044691529,
-0.044309225,
0.041427344,
-0.030325618,
-0.049723774,
0.03361332,
0.004852495,
0.024641182,
-0.002747515,
0.056269668,
0.035871282,
0.042881377,
0.054182969,
0.066277996,
-0.083749399,
-0.070282072,
-0.119553022,
-0.067895018,
-0.093992062,
-0.034000892,
-0.089445382,
-0.077401854,
-0.093479455,
-0.055376641,
-0.095931426,
-0.090507567,
-0.028562479,
0.000661848,
0.102579556,
0.003387226,
-0.005763123,
